sample-id,CH4,CO2,H2,total,I,T,F,pH,rep
A_35_M_5_A,0,,,45,A,35,M,5,A
A_35_M_5_B,2.449881563,5.126534633,,22,A,35,M,5,B
A_35_M_5_C,0,0,0,0,A,35,M,5,C
A_35_M_7_A,73.44626018,83.26213128,,358,A,35,M,7,A
A_35_M_7_B,415.8225562,206.2113187,,786,A,35,M,7,B
A_35_M_7_C,220.2111431,157.1158141,,582,A,35,M,7,C
A_35_M_9_A,5.190185695,3.066445842,,74,A,35,M,9,A
A_35_M_9_B,30.99201797,3.594031074,,92,A,35,M,9,B
A_35_M_9_C,26.89346099,4.790374542,,106,A,35,M,9,C
A_45_M_5_A,4.583475101,15.8021846,,92,A,45,M,5,A
A_45_M_5_B,1.625364434,13.47029088,,128,A,45,M,5,B
A_45_M_5_C,0,0,,52,A,45,M,5,C
A_45_M_7_A,637.5429853,349.8044368,,1341,A,45,M,7,A
A_45_M_7_B,690.3338897,344.797401,,1272,A,45,M,7,B
A_45_M_7_C,719.9558327,409.995551,,1408,A,45,M,7,C
A_45_M_9_A,3.362198832,2.252106131,,48,A,45,M,9,A
A_45_M_9_B,42.10099645,6.241398941,,150,A,45,M,9,B
A_45_M_9_C,6.008256946,29.47514326,,166,A,45,M,9,C
A_45_F_5_A,0,54.55972869,,204,A,45,F,5,A
A_45_F_5_B,0,29.22694806,,104,A,45,F,5,B
A_45_F_5_C,0,6.247474019,,50,A,45,F,5,C
A_45_F_7_A,399.6333164,161.6924428,,626,A,45,F,7,A
A_45_F_7_B,603.6626517,200.0111229,,977,A,45,F,7,B
A_45_F_7_C,156.3733624,128.2027808,,594,A,45,F,7,C
A_45_F_9_A,0.313053818,3.322137305,,96,A,45,F,9,A
A_45_F_9_B,0,0,,148,A,45,F,9,B
A_45_F_9_C,0,0,,132,A,45,F,9,C
A_35_F_5_A,2.722066122,50.15907797,,232,A,35,F,5,A
A_35_F_5_B,0,76.52894258,,222,A,35,F,5,B
A_35_F_5_C,2.247726152,60.57628237,,188,A,35,F,5,C
A_35_F_7_A,541.6691787,274.7329158,,1028,A,35,F,7,A
A_35_F_7_B,38.58870475,82.49318431,,367,A,35,F,7,B
A_35_F_7_C,660.3953624,318.3668015,,1250,A,35,F,7,C
A_35_F_9_A,12.73866443,5.55677416,,162,A,35,F,9,A
A_35_F_9_B,1.096173543,0,,48,A,35,F,9,B
A_35_F_9_C,0,0,,120,A,35,F,9,C
A_55_F_5_A,11,60,96.8725496,200,A,55,F,5,A
A_55_F_5_B,9,31,36.30978499,150,A,55,F,5,B
A_55_F_5_C,22,48,84.49772273,420,A,55,F,5,C
A_55_F_7_A,458,140,20.02439251,680,A,55,F,7,A
A_55_F_7_B,314,98,0,501,A,55,F,7,B
A_55_F_7_C,226,79,0,525,A,55,F,7,C
A_55_F_9_A,6,6,10.16175909,107,A,55,F,9,A
A_55_F_9_B,6,6,12.77961862,110,A,55,F,9,B
A_55_F_9_C,6,6,15.05869602,115,A,55,F,9,C
A_55_M_5_A,0,0,0,0,A,55,M,5,A
A_55_M_5_B,4,10,8,75,A,55,M,5,B
A_55_M_5_C,0,0,0,0,A,55,M,5,C
A_55_M_7_A,478,213,52,830,A,55,M,7,A
A_55_M_7_B,652,348,13,1130,A,55,M,7,B
A_55_M_7_C,461,247,83,953,A,55,M,7,C
A_55_M_9_A,4,4,7,73,A,55,M,9,A
A_55_M_9_B,5,4,8,80,A,55,M,9,B
A_55_M_9_C,6,5,10,104,A,55,M,9,C
B_45_F_5_A,3,51,,178,B,45,F,5,A
B_45_F_5_B,3,21,,182,B,45,F,5,B
B_45_F_5_C,6,60,,387,B,45,F,5,C
B_45_F_7_A,10,19,,450,B,45,F,7,A
B_45_F_7_B,61,35,,220,B,45,F,7,B
B_45_F_7_C,62,39,,243,B,45,F,7,C
B_45_F_9_A,5,3,,90,B,45,F,9,A
B_45_F_9_B,6,6,,178,B,45,F,9,B
B_45_F_9_C,10,6,,172,B,45,F,9,C
B_35_F_5_A,4,53,,180,B,35,F,5,A
B_35_F_5_B,3,51,,144,B,35,F,5,B
B_35_F_5_C,4,42,,281,B,35,F,5,C
B_35_F_7_A,17,10,,142,B,35,F,7,A
B_35_F_7_B,266,86,,540,B,35,F,7,B
B_35_F_7_C,432,144,,885,B,35,F,7,C
B_35_F_9_A,14,33,,204,B,35,F,9,A
B_35_F_9_B,17,30,,216,B,35,F,9,B
B_35_F_9_C,43,37,,290,B,35,F,9,C
B_45_M_5_A,1,6,,60,B,45,M,5,A
B_45_M_5_B,0,3,,20,B,45,M,5,B
B_45_M_5_C,2,14,,140,B,45,M,5,C
B_45_M_7_A,138,99,,500,B,45,M,7,A
B_45_M_7_B,54,65,,280,B,45,M,7,B
B_45_M_7_C,229,225,,580,B,45,M,7,C
B_45_M_9_A,1,2,,50,B,45,M,9,A
B_45_M_9_B,0,1,,25,B,45,M,9,B
B_45_M_9_C,4,6,,180,B,45,M,9,C
B_35_M_5_A,4,40,,160,B,35,M,5,A
B_35_M_5_B,3,27,,135,B,35,M,5,B
B_35_M_5_C,2,24,,175,B,35,M,5,C
B_35_M_7_A,8,12,,170,B,35,M,7,A
B_35_M_7_B,161,113,,480,B,35,M,7,B
B_35_M_7_C,216,116,,500,B,35,M,7,C
B_35_M_9_A,3,2,,50,B,35,M,9,A
B_35_M_9_B,2,3,,75,B,35,M,9,B
B_35_M_9_C,12,3,,95,B,35,M,9,C